method,k,avgRet,annRet,annVol,Sharpe,VaR,CVaR,LPM2,maxDD,Omega,Calmar,Sortino,Turnover,Information
nominal,10,0.0003330420315614,0.129234651461467,0.1701016239920619,0.7597496627515914,0.0123214088042163,0.0241617696706272,0.0899614850604626,0.3763017186576171,1.1365397130457882,0.3434335934539083,1.4365553367044697,7.46613075402697,
nominal,15,0.0003354942739868,0.1302455082387734,0.1680907646498301,0.7748522562206399,0.0121010240715633,0.0239846886760203,0.0881270768637153,0.3739794659066,1.1388223263357815,0.3482691433954338,1.4779283833525132,6.08968191921624,
nominal,20,0.0003339212801194,0.1295969892148145,0.1685073753642461,0.7690879341908758,0.0121779376337352,0.0240511698285684,0.0887678299464809,0.3768229707206794,1.1383568515202205,0.3439200879048282,1.4599544597738838,6.10046816554198,
linreg,10,0.0002935748364265,0.1130890625970131,0.1731504416250659,0.6531260419300131,0.0125254718161203,0.0249209194329359,0.0978297251571942,0.3997939470700183,1.1190788160604237,0.2828683711342111,1.1559785373545717,5.05623966227698,-5.2649052256121625
linreg,15,0.0003055021515869,0.1179439684225971,0.1700414930862938,0.6936187531753919,0.0126107290257166,0.0245225600749132,0.0927939535888397,0.3843992388822493,1.124507341173365,0.3068267480590048,1.271030749968844,4.894878480466651,-4.5527506346001125
linreg,20,0.0003122991134434,0.1207200502606109,0.1692304919158404,0.7133469204866811,0.0127318458158467,0.0243966712845034,0.091280155809034,0.380110131934315,1.1269571024852476,0.3175922979118905,1.3225223948255267,4.580013947055997,-3.3766719807772376
e2e_m,10,0.0004702785118981,0.1872162813947497,0.2391154635852146,0.782953467700054,0.0224355605422154,0.0361959242232142,0.1680601510064573,0.3308174463933555,1.122475053505817,0.5659202180411668,1.1139837746995505,14.38851390032316,
e2e_m,15,0.000491819672503,0.1965830666213053,0.2412496452196967,0.814853287938661,0.0226859840972714,0.0364051709931013,0.1704994503757165,0.3311189408433743,1.1268999424929895,0.5936932092153946,1.1529835796426926,13.946172445786308,
e2e_m,20,0.0005012514891513,0.2007074865321241,0.244398237065325,0.821231318777791,0.0229645996027526,0.0369466151741229,0.1766347752319685,0.347292432792172,1.1278989805553703,0.577920701923938,1.1362852318777072,13.794503978520146,
e2e_socp,10,0.000515784137816,0.2070902070704217,0.2638083109587039,0.7850025888791624,0.0235818717829886,0.0391705845722314,0.2046192849819141,0.352580883626808,1.1257403365374137,0.5873551763220888,1.0120757048326408,15.538144753567696,
e2e_socp,15,0.0004753577756224,0.1894182981804373,0.2640778249927409,0.7172821049463132,0.0237906394474566,0.0393517793654567,0.2079225353213415,0.347061191509715,1.118471127279662,0.5457778132912768,0.91100417704937,16.417954879983967,
e2e_socp,20,0.0004638221267001,0.1844231075556479,0.2652128170343047,0.6953778087270692,0.0244229118581889,0.0398501725247627,0.2121738594762708,0.348670988223039,1.116015082929177,0.5289316111315678,0.8692074886646134,15.57413481667927,
