cardinality,method,direction_corr_within_window,sign_agreement_rate_within_window,grad_norm,grad_nan_count,bad_layer_solves,relax_autograd_loss
10,bigm,0.6419597646584562,0.7708333333333334,1.9333825989381916,0.0,0.0,-1.8722395208653912
10,sdp,0.07591501515732878,0.625,0.1972643600205759,0.0,0.0,-1.7598277746637538
10,socp,0.7099506422268842,0.8541666666666666,0.5352063896784062,0.0,0.0,-1.8667280605899987
15,bigm,0.7306635186012181,0.8125,2.082195816684041,0.0,0.0,-1.8528962519525027
15,sdp,0.6072446371467061,0.7708333333333334,0.2856908510831299,0.0,0.0,-1.7862735892681625
15,socp,0.7001039015124876,0.7916666666666666,0.7595120460848643,0.0,0.0,-1.92329743940458
20,bigm,0.7422235832701021,0.8333333333333334,2.321069679549129,0.0,0.0,-1.9208774223234772
20,sdp,0.7443233342441092,0.7916666666666666,0.2376849262410294,0.0,0.0,-1.6815354118865808
20,socp,0.8011068743637461,0.7916666666666666,0.9232171775321903,0.0,0.0,-1.8953197449115413
