,,,gap_to_exact,gap_to_exact,gap_to_exact,gap_to_exact,gap_to_exact,bound_violation,bound_violation,bound_violation,bound_violation,bound_violation,rounded_gap_to_exact,rounded_gap_to_exact,rounded_gap_to_exact,rounded_gap_to_exact,rounded_gap_to_exact,topk_overlap,topk_overlap,topk_overlap,topk_overlap,topk_overlap,rounded_support_overlap,rounded_support_overlap,rounded_support_overlap,rounded_support_overlap,rounded_support_overlap,l1_to_exact,l1_to_exact,l1_to_exact,l1_to_exact,l1_to_exact,frac_sum,frac_sum,frac_sum,frac_sum,frac_sum,rank_ratio1,rank_ratio1,rank_ratio1,rank_ratio1,rank_ratio1,W_minus_ww_norm,W_minus_ww_norm,W_minus_ww_norm,W_minus_ww_norm,W_minus_ww_norm,relax_solve_time,relax_solve_time,relax_solve_time,relax_solve_time,relax_solve_time
,,,mean,median,std,max,count,mean,median,std,max,count,mean,median,std,max,count,mean,median,std,max,count,mean,median,std,max,count,mean,median,std,max,count,mean,median,std,max,count,mean,median,std,max,count,mean,median,std,max,count,mean,median,std,max,count
cardinality,method,solver_used,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,bigm,dense_qp,0.018462433556780858,0.01789067509335575,0.014305716300981503,0.0457429148039195,24,0.0,0.0,0.0,0.0,24,0.0017940646246625083,0.0002830271825962281,0.0026809504210279205,0.00822155568443,24,0.9500000000000001,0.95,0.05107539184552492,1.0,24,0.9500000000000001,0.95,0.05107539184552492,1.0,24,0.25704582931562436,0.2867808219335804,0.14977391561115938,0.4662784699516368,24,1.0,1.0,4.629950069047756e-17,1.0000000000000002,24,,,,,0,,,,,0,0.07675665291632561,0.07862374399701365,0.013531828949127007,0.1080000420042779,24
10,sdp,CLARABEL eps=1e-8,-0.0011260668483940959,-0.0009721805866861,0.0007602286722058742,0.0001295771802412,24,0.0011314658975708125,0.0009721805866861,0.000751331589213337,0.0030998751438557,24,0.00016493701229341602,2.578250484388344e-06,0.00047347679272181746,0.0021486301428292,24,0.9833333333333334,1.0,0.038069349381344056,1.0,24,0.9833333333333334,1.0,0.038069349381344056,1.0,24,0.03740581673629577,0.0227677415273972,0.035241517862554354,0.1268001315928401,24,0.6621916140341015,0.6268153187404912,0.5098254803003998,2.023617913566561,24,0.9887941890988121,0.9915283278497784,0.008803992885241899,0.9994728331735558,24,0.007345380501030196,0.00581951104183075,0.006766954362417496,0.0217914920496317,24,27.28522345412178,27.20119567099755,1.035621896875534,28.85172690699983,24
10,socp,SCS eps=1e-5,-0.00021038594850632922,-0.000144424380555647,0.00091096783104725,0.001757726509924,24,0.0004512454591954697,0.000144424380555647,0.0006180803630091269,0.0019612828299695,24,0.0003612514948097261,2.914318155265699e-06,0.0007378868065512026,0.0025873445024335,24,0.9708333333333333,1.0,0.046430562148753664,1.0,24,0.9708333333333333,1.0,0.046430562148753664,1.0,24,0.06760783612258177,0.0543902520028402,0.04891581053840079,0.1496747531129199,24,1.1697798028391013,1.2452755519060537,0.6726794227606415,2.454913629359063,24,,,,,0,,,,,0,0.14140235187551295,0.1410354574982193,0.01317367027901278,0.1688684170076158,24
15,bigm,dense_qp,0.0023586505889376147,0.0006177696599929,0.0032918882288051256,0.0135444787472043,24,2.39465467375179e-07,0.0,6.280885938628596e-07,2.291597056892013e-06,24,0.0005954928342644485,2.5156999317802996e-06,0.0015364977270826221,0.0073364695931604,24,0.9166666666666666,0.9333333333333332,0.09273097549592119,1.0,24,0.9166666666666666,0.9333333333333332,0.09273097549592119,1.0,24,0.06971064934085233,0.04470204079550205,0.07149793944303495,0.2448713243466209,24,1.0,1.0,4.629950069047756e-17,1.0000000000000002,24,,,,,0,,,,,0,0.07680019608415019,0.0778708210054901,0.010660706050240372,0.0925721969979349,24
15,sdp,CLARABEL eps=1e-8,-0.0015120939329331207,-0.0014451967674,0.0006385838469138072,-0.0004149090133553,24,0.0015120939329331207,0.0014451967674,0.0006385838469138072,0.0029786049629607,24,4.2109633027167805e-06,1.4277380837691877e-06,1.1026096589218927e-05,5.339175761376801e-05,24,0.9388888888888888,1.0,0.10008048291041234,1.0,24,0.9388888888888888,1.0,0.10008048291041234,1.0,24,0.020059214837464062,0.020908221931194,0.01061746693805447,0.0402253054425428,24,2.134852338598718,1.37855783608476,1.5671566237818633,6.22192505746751,24,0.995532307560051,0.9960947976078403,0.0023826178201057343,0.9983585973599126,24,0.001608398128892221,0.00097075016345995,0.001388769930344701,0.0055607050587839,24,24.87624593741566,24.932795597502263,1.2033420804720865,27.01976369600743,24
15,socp,SCS eps=1e-5,-0.0010240742100440334,-0.0015408247530191502,0.0015241140532603111,0.0019407876935215,24,0.0013109199909719833,0.0015408247530191502,0.0010924022136381906,0.0033071889279728,24,0.00014860681879476235,2.329329923977875e-06,0.0003452819348020249,0.0012644412837044,24,0.9249999999999999,0.9333333333333332,0.09693366425396546,1.0,24,0.9249999999999999,0.9333333333333332,0.09693366425396546,1.0,24,0.048693773328642914,0.0464840434338826,0.031047285133015096,0.1232931884463197,24,3.2564524795093455,2.9649960499711376,1.3294275965236013,6.123997063007368,24,,,,,0,,,,,0,0.16098968870695288,0.16106833700177955,0.02287496702114893,0.2106911449955077,24
20,bigm,dense_qp,0.0001443178405590243,6.098839803673021e-07,0.00039452471726118783,0.0018682085241425,24,4.217238350704144e-07,0.0,7.396025947165862e-07,2.291597056892013e-06,24,6.0265100622471604e-05,9.482841326404245e-07,0.00024111192245869498,0.0011650271844935,24,0.8479166666666668,0.95,0.17224803063597283,1.0,24,0.8479166666666668,0.95,0.17224803063597283,1.0,24,0.010731575363141394,0.00295342374951685,0.018017550440270227,0.0826391534858897,24,1.0,1.0,4.629950069047756e-17,1.0000000000000002,24,,,,,0,,,,,0,0.07751096504459076,0.0755032445013057,0.014510140103609409,0.1278562220104504,24
20,sdp,CLARABEL eps=1e-8,-0.0013406611546559085,-0.0012862720162857499,0.000713617280221293,-0.0001950075720992,24,0.0013406611546559085,0.0012862720162857499,0.000713617280221293,0.0027293437874869,24,8.278808224751585e-07,6.583207873998123e-07,1.2411432369067945e-06,3.38347342471059e-06,24,0.8541666666666666,0.95,0.17687914485336587,1.0,24,0.8541666666666666,0.95,0.17687914485336587,1.0,24,0.014279245820002404,0.0138751787363661,0.008321167390746169,0.0287582656128615,24,5.185313630504946,4.549103128629829,2.825756340303864,10.750175927221331,24,0.9970710907712547,0.9975991372351805,0.0019037857813337486,0.999584939093141,24,0.0006875907382923579,0.00051822386658705,0.0004554553938719373,0.0016223263533951,24,22.80322063975048,23.12027910550387,1.0803759545216427,24.638719494003453,24
20,socp,SCS eps=1e-5,0.00027674024908820046,-0.00047635227255995,0.00260151834671772,0.0055110310775737,24,0.0008443257174644583,0.00047635227255995,0.0010970784795724755,0.0042830256190211,24,7.296465365437515e-05,8.292400906885841e-07,0.00024064095872118108,0.0011650271844934,24,0.84375,0.95,0.16895619447707122,1.0,24,0.84375,0.95,0.16895619447707122,1.0,24,0.037551520556981445,0.038055784502574797,0.018635341366836315,0.0675699024820302,24,6.630999665568408,6.235673792133871,2.181989178318196,11.74573426081583,24,,,,,0,,,,,0,0.14336935391596242,0.14155189799930665,0.00975583083808266,0.1662266519997501,24
